date,stars,forks,watchers,total_downloads,latest_tag,latest_downloads
2026-07-26,0,0,0,0,v0.5.3,0
2026-07-27,0,0,0,1,v0.5.3,1
2026-07-28,1,0,0,1,v0.5.3,1
2026-07-29,1,0,0,2,v0.5.3,2
2026-07-30,1,0,0,2,v0.5.3,2
2026-07-31,1,0,0,2,v0.5.3,2
2026-08-01,1,0,0,3,v0.5.3,3
2026-08-02,1,0,0,3,v0.5.3,3
2026-08-03,1,0,0,3,v0.5.3,3
2026-08-04,1,0,0,3,v0.5.3,3
2026-08-05,1,0,0,3,v0.5.3,3
2026-08-06,1,0,0,3,v0.5.3,3
2026-08-07,1,0,0,3,v0.5.3,3
2026-08-08,1,0,0,5,v0.5.3,4
2026-08-09,1,0,0,5,v0.5.3,4
2026-08-10,1,0,0,6,v0.5.3,4
2026-08-11,1,0,0,6,v0.5.3,4
2026-08-12,1,0,0,6,v0.5.3,4
2026-08-13,1,0,0,6,v0.5.3,4
2026-08-14,2,0,0,6,v0.5.3,4
2026-08-15,2,0,0,6,v0.5.3,4
2026-08-16,2,0,0,6,v0.6.0,0
2026-08-17,2,0,0,6,v0.6.0,0
2026-08-18,2,0,0,6,v0.6.0,0
